receiptNumber,totalAmount,paymentMethod,status,createdAt,customerId,cashierId,items.0.productId,items.0.batchNumber,items.0.quantity,items.0.price,items.0.costPrice,items.1.productId,items.1.batchNumber,items.1.quantity,items.1.price,items.1.costPrice,items.2.productId,items.2.batchNumber,items.2.quantity,items.2.price,items.2.costPrice,items.3.productId,items.3.batchNumber,items.3.quantity,items.3.price,items.3.costPrice,items.4.productId,items.4.batchNumber,items.4.quantity,items.4.price,items.4.costPrice
REC-20250503-1000,940.31,Cash,completed,2025-05-03T06:20:32.396Z,69f6f37778e1596ba7c95e13,PLACEHOLDER_CASHIER_ID,7c073bfaf5706bbb95e4d430,B20264661,1,207.47,165.98,446e6b817445b26abca1a1b6,B20266835,2,366.42,293.14,,,,,,,,,,,,,,,
REC-20250503-1001,3141.74,Cash,completed,2025-05-03T12:59:42.396Z,69f6f37778e1596ba7c95e09,PLACEHOLDER_CASHIER_ID,aa1dc71dc32c959e4001e9cf,B20268895,2,500.14,400.11,a5aea1d2fcc913298e5c52c9,B20268734,3,381.49,305.19,a5aea1d2fcc913298e5c52c9,B20268734,1,381.49,305.19,f322a3a4c783019c5537b1ee,B20269549,2,146.46,117.17,78ca2a629b67bf68c56178a5,B20261111,2,161.29,129.03
REC-20250503-1002,3133.18,Card,completed,2025-05-03T09:52:59.396Z,,PLACEHOLDER_CASHIER_ID,ee0beab30c8bb73e1a629812,B20268641,2,621.38,497.1,199c0805ce11886585b4af5a,B20262768,3,184.63,147.7,b0d1cd9d707b5af19cb60063,B20265386,3,445.51,356.41,,,,,,,,,,
REC-20250503-1003,1322.40,Card,completed,2025-05-03T10:10:25.396Z,69f6f37778e1596ba7c95e0c,PLACEHOLDER_CASHIER_ID,3add7aa6255c2eab4709b169,B20264879,1,258.23,206.58,0b1774a50351c54532cd7117,B20268107,1,618.66,494.93,b0d1cd9d707b5af19cb60063,B20265386,1,445.51,356.41,,,,,,,,,,
REC-20250503-1004,1500.42,Online,completed,2025-05-03T14:09:34.396Z,,PLACEHOLDER_CASHIER_ID,aa1dc71dc32c959e4001e9cf,B20268895,3,500.14,400.11,,,,,,,,,,,,,,,,,,,,
REC-20250503-1005,1518.02,Online,completed,2025-05-03T12:12:32.396Z,69f6f37778e1596ba7c95e08,PLACEHOLDER_CASHIER_ID,bc5d8acde08251c8952b5bee,B20267418,2,612.55,490.04,f322a3a4c783019c5537b1ee,B20269549,2,146.46,117.17,,,,,,,,,,,,,,,
REC-20250503-1006,1180.89,Online,completed,2025-05-03T04:37:01.396Z,,PLACEHOLDER_CASHIER_ID,3172d058628bf662d0641c2e,B20266879,3,393.63,314.9,,,,,,,,,,,,,,,,,,,,
REC-20250503-1007,5281.65,Cash,completed,2025-05-03T07:38:59.396Z,69f6f37778e1596ba7c95e2c,PLACEHOLDER_CASHIER_ID,ce391e69d2542d345996de91,B20261947,3,586.85,469.48,ce391e69d2542d345996de91,B20261947,3,586.85,469.48,ce391e69d2542d345996de91,B20261947,3,586.85,469.48,,,,,,,,,,
REC-20250503-1008,2195.04,Cash,completed,2025-05-03T04:51:20.396Z,69f6f37778e1596ba7c95e0a,PLACEHOLDER_CASHIER_ID,3add7aa6255c2eab4709b169,B20264879,3,258.23,206.58,b0d1cd9d707b5af19cb60063,B20265386,1,445.51,356.41,8c56c3c61a39685b9ef06c10,B20267935,1,493.03,394.42,82b588bca468babb2768aeab,B20264605,1,481.81,385.45,,,,,
REC-20250503-1009,2627.61,Card,completed,2025-05-03T04:45:20.396Z,,PLACEHOLDER_CASHIER_ID,6cc291406970c9cec14f1c23,B20262705,1,460.66,368.53,3172d058628bf662d0641c2e,B20266879,3,393.63,314.9,8c56c3c61a39685b9ef06c10,B20267935,2,493.03,394.42,,,,,,,,,,
REC-20250503-1010,488.86,Online,completed,2025-05-03T14:36:38.396Z,69f6f37778e1596ba7c95e1c,PLACEHOLDER_CASHIER_ID,f322a3a4c783019c5537b1ee,B20269549,2,146.46,117.17,dfdd772e3807e40a2a79cf0f,B20269881,1,195.94,156.75,,,,,,,,,,,,,,,
REC-20250503-1011,1352.44,Cash,completed,2025-05-03T10:11:29.396Z,,PLACEHOLDER_CASHIER_ID,1d7efaf59a4d4d5ec33baeac,B20269891,2,432.21,345.77,199c0805ce11886585b4af5a,B20262768,2,184.63,147.7,350054cac45e5ae7b69aec04,B20264799,1,118.76,95.01,,,,,,,,,,
REC-20250503-1012,47.96,Card,completed,2025-05-03T14:01:52.396Z,,PLACEHOLDER_CASHIER_ID,046b2a17349c4ed0e71ab47e,B20265976,1,47.96,38.37,,,,,,,,,,,,,,,,,,,,
REC-20250503-1013,1002.76,Cash,completed,2025-05-03T05:39:46.396Z,,PLACEHOLDER_CASHIER_ID,7c073bfaf5706bbb95e4d430,B20264661,2,207.47,165.98,dfdd772e3807e40a2a79cf0f,B20269881,3,195.94,156.75,,,,,,,,,,,,,,,
REC-20250503-1014,1376.22,Cash,completed,2025-05-03T14:16:33.396Z,69f6f37778e1596ba7c95e16,PLACEHOLDER_CASHIER_ID,3172d058628bf662d0641c2e,B20266879,2,393.63,314.9,7c073bfaf5706bbb95e4d430,B20264661,1,207.47,165.98,a5aea1d2fcc913298e5c52c9,B20268734,1,381.49,305.19,,,,,,,,,,
REC-20250503-1015,445.51,Card,completed,2025-05-03T04:13:36.396Z,69f6f37778e1596ba7c95e2e,PLACEHOLDER_CASHIER_ID,b0d1cd9d707b5af19cb60063,B20265386,1,445.51,356.41,,,,,,,,,,,,,,,,,,,,
REC-20250503-1016,3485.97,Card,completed,2025-05-03T05:37:35.396Z,69f6f37778e1596ba7c95e1e,PLACEHOLDER_CASHIER_ID,8c56c3c61a39685b9ef06c10,B20267935,3,493.03,394.42,dfdd772e3807e40a2a79cf0f,B20269881,1,195.94,156.75,bc5d8acde08251c8952b5bee,B20267418,2,612.55,490.04,f322a3a4c783019c5537b1ee,B20269549,1,146.46,117.17,f322a3a4c783019c5537b1ee,B20269549,3,146.46,117.17
REC-20250503-1017,2615.16,Card,completed,2025-05-03T04:24:44.396Z,,PLACEHOLDER_CASHIER_ID,8c56c3c61a39685b9ef06c10,B20267935,1,493.03,394.42,b5decbaca4947386a855bb24,B20267049,2,198.04,158.43,023e50a6b50d4c28a8a019d1,B20267819,3,575.35,460.28,,,,,,,,,,
REC-20250503-1018,5520.81,Cash,completed,2025-05-03T14:15:11.396Z,69f6f37778e1596ba7c95e1f,PLACEHOLDER_CASHIER_ID,bc5d8acde08251c8952b5bee,B20267418,3,612.55,490.04,3172d058628bf662d0641c2e,B20266879,3,393.63,314.9,085e5274131972e08df79438,B20266214,3,215.43,172.34,0b1774a50351c54532cd7117,B20268107,3,618.66,494.93,,,,,
